"","id","r_squared_adj","effect_size","pvalue","padj"
"rn6_chr7_2826949_2827449_250","rn6_chr7_2826949_2827449_250",0.297110189607825,-0.962865654013702,8.62999734826952e-18,8.62999734826952e-14
"mm10_chr_x_136828556_136829057","mm10_chr_x_136828556_136829057",0.255409374392246,-1.0312658284987,3.61307246473975e-15,3.61271115749328e-11
"rn6_chr7_135713270_135713770_250","rn6_chr7_135713270_135713770_250",0.209369120976087,-0.869463554887163,1.9740922004955e-12,1.9736973820554e-08
"rn6_chr17_63675352_63675852_250","rn6_chr17_63675352_63675852_250",0.195506213150843,-0.89001484475211,1.2319407332592e-11,1.23157115103922e-07
"hg38_chr1_8815512_8816013","hg38_chr1_8815512_8816013",0.179229755326303,-0.769445498121398,1.01973275309076e-10,1.01932485998952e-06
"rhe_mac10_chr6_144494360_144494860_250","rhe_mac10_chr6_144494360_144494860_250",0.17018821998402,-0.946548400730502,3.24597759798199e-10,3.244354609183e-06
"mm10_chr7_134534857_134535358","mm10_chr7_134534857_134535358",0.168593562114937,-1.13735583497067,3.97677523857756e-10,3.97438917343442e-06
"hg38_chr1_18922280_18922781","hg38_chr1_18922280_18922781",0.167275791674848,-0.831735495366527,4.70210427803642e-10,4.69881280504179e-06
"rn6_chr1_170577738_170578238_250","rn6_chr1_170577738_170578238_250",0.163653940885193,-0.896439035712912,7.44312380173729e-10,7.4371693026959e-06
"rn6_chr8_62725636_62726136_250","rn6_chr8_62725636_62726136_250",0.160719151671493,-0.767956488972111,1.07851948978834e-09,1.07754882224753e-05
"rhe_mac10_chr3_25749808_25750308_250","rhe_mac10_chr3_25749808_25750308_250",0.157108372960483,-0.887858201584496,1.69954508200277e-09,1.69784553692076e-05
"rhe_mac10_chr1_89224917_89225417_250","rhe_mac10_chr1_89224917_89225417_250",0.156453919028641,1.02394650793599,1.84523721091742e-09,1.84320744998541e-05
"rn6_chr15_77559459_77559959_250","rn6_chr15_77559459_77559959_250",0.155696116953798,-0.663975804183161,2.02946978517942e-09,2.0270344214372e-05
"rhe_mac10_chr16_51685132_51685632_250","rhe_mac10_chr16_51685132_51685632_250",0.147936853689464,-0.946291571136198,5.35496785841577e-09,5.34800640019983e-05
"rn6_chr17_4696685_4697185_250","rn6_chr17_4696685_4697185_250",0.146434520105663,0.713802121728965,6.45603957870163e-09,6.44700112329145e-05
"rhe_mac10_chr7_21810775_21811275_250","rhe_mac10_chr7_21810775_21811275_250",0.145473969767616,-0.8128133494966,7.27488566483032e-09,7.26397333633308e-05
"mm10_chr15_99717549_99718050","mm10_chr15_99717549_99718050",0.143564066646843,-1.03923867236591,9.22139501668788e-09,9.20664078466118e-05
"rn6_chr1_261643993_261644493_250","rn6_chr1_261643993_261644493_250",0.142326204460907,-0.965705409362648,1.07505908061702e-08,0.000107323148017997
"rhe_mac10_chr11_124761153_124761653_250","rhe_mac10_chr11_124761153_124761653_250",0.140989395609538,-0.916779257733127,1.26854159172603e-08,0.000126625821686092
"hg38_chr4_77203544_77204045","hg38_chr4_77203544_77204045",0.140019619256782,1.11146069922349,1.43016424212962e-08,0.000142744693006957
"rhe_mac10_chr3_176973505_176974005_250","rhe_mac10_chr3_176973505_176974005_250",0.136631181156206,-0.778620508760424,2.17260419321945e-08,0.000216825898483301
"rhe_mac10_chr_x_39642325_39642825_250","rhe_mac10_chr_x_39642325_39642825_250",0.136460433554605,-0.963298909497274,2.21878854039563e-08,0.00022141290844608
"rn6_chr2_8957175_8957675_250","rn6_chr2_8957175_8957675_250",0.131051910687201,-0.70661322546016,4.31245922865174e-08,0.000430297181834871
"hg38_chr15_85037620_85038121","hg38_chr15_85037620_85038121",0.13093441936233,0.729637668791748,4.37500401329693e-08,0.000436494150406635
"rhe_mac10_chr13_5626420_5626920_250","rhe_mac10_chr13_5626420_5626920_250",0.129533995929211,-0.824195285893442,5.193542362758e-08,0.000518107786108738
"rhe_mac10_chr19_48630820_48631320_250","rhe_mac10_chr19_48630820_48631320_250",0.128789773964819,-0.915976126172563,5.68863646160952e-08,0.00056744148704555
"rhe_mac10_chr7_137990116_137990616_250","rhe_mac10_chr7_137990116_137990616_250",0.125624912171527,-0.911746029656724,8.37289806190734e-08,0.000835112852694638
"rhe_mac10_chr9_24327216_24327716_250","rhe_mac10_chr9_24327216_24327716_250",0.122981456440312,-0.874483754028237,1.15537252871882e-07,0.00115225302289128
"rhe_mac10_chr9_122943776_122944276_250","rhe_mac10_chr9_122943776_122944276_250",0.122655831273761,-0.840139698670726,1.20205906208867e-07,0.00119869329671482
"rhe_mac10_chr10_67709120_67709620_250","rhe_mac10_chr10_67709120_67709620_250",0.122551516144652,0.792908854028793,1.21740770530769e-07,0.0012138772229623
"rn6_chr8_23917053_23917553_250","rn6_chr8_23917053_23917553_250",0.120799264135694,0.701392675464796,1.50632856183293e-07,0.00150180957614743
"rn6_chr6_54659984_54660484_250","rn6_chr6_54659984_54660484_250",0.120529015451705,-0.82116289623481,1.55657757881452e-07,0.00155175218832019
"rn6_chr1_203523489_203523989_250","rn6_chr1_203523489_203523989_250",0.119378974152695,0.628980342408546,1.78969308831938e-07,0.00178396607043676
"rn6_chr_x_158857080_158857580_250","rn6_chr_x_158857080_158857580_250",0.118323598903466,-0.902989768240122,2.03396878369043e-07,0.00202725668670425
"mm10_chr4_149910020_149910521","mm10_chr4_149910020_149910521",0.117430886505649,-0.884203816084876,2.26624247010836e-07,0.00225853724571
"rhe_mac10_chr9_97513934_97514434_250","rhe_mac10_chr9_97513934_97514434_250",0.116523764952688,0.815577080036832,2.52923823111038e-07,0.0025203858973015
"rn6_chr10_38445235_38445735_250","rn6_chr10_38445235_38445735_250",0.116249094527571,-0.813332994350071,2.61469284831485e-07,0.00260527995406091
"rhe_mac10_chr10_42134865_42135365_250","rhe_mac10_chr10_42134865_42135365_250",0.114503154603571,0.68466867055197,3.22903245965664e-07,0.00321708503955591
"rn6_chr18_71050342_71050842_250","rn6_chr18_71050342_71050842_250",0.113035685350331,0.667461640020475,3.85480278809915e-07,0.00384015453750437
"rn6_chr12_6980628_6981128_250","rn6_chr12_6980628_6981128_250",0.110799255383878,-0.968399425247574,5.04735174173978e-07,0.00502766706994699
"hg38_chr_x_39811349_39811850","hg38_chr_x_39811349_39811850",0.108819697438613,-0.895229855902162,6.40473359000033e-07,0.00637911465564033
"rn6_chr1_167345326_167345826_250","rn6_chr1_167345326_167345826_250",0.10681969859157,0.698669422308179,8.14403178280307e-07,0.00811064125249358
"rn6_chr5_105563782_105564282_250","rn6_chr5_105563782_105564282_250",0.106693794229114,0.648639321754246,8.26803369687006e-07,0.0082333079553432
"rhe_mac10_chr8_18825611_18826111_250","rhe_mac10_chr8_18825611_18826111_250",0.106048510499887,0.748182701546061,8.93362007557738e-07,0.0088952055092524
"rhe_mac10_chr_x_50179744_50180244_250","rhe_mac10_chr_x_50179744_50180244_250",0.104465548973168,-0.954999661178623,1.08004621143663e-06,0.0107529400810631
"mm10_chr6_108426653_108427154","mm10_chr6_108426653_108427154",0.103418389747776,-0.841573513690623,1.22435021658093e-06,0.0121884064060632
"rhe_mac10_chr16_37644003_37644503_250","rhe_mac10_chr16_37644003_37644503_250",0.101403984115067,0.76926602013209,1.55794899300935e-06,0.0155078242764151
"mm10_chr_x_6092037_6092538","mm10_chr_x_6092037_6092538",0.100400265530659,-1.11310703062861,1.75645307554929e-06,0.0174819774609421
"rn6_chr5_137311489_137311989_250","rn6_chr5_137311489_137311989_250",0.100268024958994,-0.823332908524241,1.78441410151355e-06,0.0177584891382628
"rn6_chr1_101686798_101687298_250","rn6_chr1_101686798_101687298_250",0.0991933552444067,-0.809511638350277,2.02867264248416e-06,0.0201873214653598
"rhe_mac10_chr10_42638281_42638781_250","rhe_mac10_chr10_42638281_42638781_250",0.0987836554729696,-1.02575401976709,2.1303023491415e-06,0.021196508373958
"rhe_mac10_chr17_945584_946084_250","rhe_mac10_chr17_945584_946084_250",0.0984701649748133,0.75849972647617,2.21146956623649e-06,0.0220019107144868
"hg38_chr1_155648432_155648933","hg38_chr1_155648432_155648933",0.0953503217217414,-0.996086092201336,3.20698814797185e-06,0.0319031180960239
"hg38_chr13_25169212_25169713","hg38_chr13_25169212_25169713",0.0947861475092493,0.618057910630368,3.4296409625865e-06,0.034114638654848
"rn6_chr4_115133406_115133906_250","rn6_chr4_115133406_115133906_250",0.09433608984761,0.612179646906681,3.61822198806768e-06,0.0359868358933211
"hg38_chr17_59155380_59155881","hg38_chr17_59155380_59155881",0.0924813665052117,0.730361133489565,4.51044787793555e-06,0.044856404146069
"rn6_chr5_126173316_126173816_250","rn6_chr5_126173316_126173816_250",0.090684571051124,0.736989346573553,5.58263581738056e-06,0.0555137305680323
"rhe_mac10_chr15_41085242_41085742_250","rhe_mac10_chr15_41085242_41085742_250",0.0900942374601501,-0.899093899168161,5.98749370297721e-06,0.0595336498887024
"rn6_chr18_49845917_49846417_250","rn6_chr18_49845917_49846417_250",0.0891143906903617,-0.768350163819423,6.72492024411434e-06,0.0668591570669848
"rn6_chr16_1984686_1985186_250","rn6_chr16_1984686_1985186_250",0.0890435527388151,-0.726643955530125,6.78160665846463e-06,0.0674146900803005
"hg38_chr_x_40434936_40435437","hg38_chr_x_40434936_40435437",0.0890437106851467,-0.789970265015583,6.78147973848712e-06,0.0674146900803005
"mm10_chr7_18910214_18910715","mm10_chr7_18910214_18910715",0.0888299692955117,-0.774237926755636,6.95541430034053e-06,0.0691298627310845
"rhe_mac10_chr16_4360109_4360609_250","rhe_mac10_chr16_4360109_4360609_250",0.0881094565710964,-0.859165555095319,7.57508365787609e-06,0.0752811813919726
"hg38_chr1_156673611_156674112","hg38_chr1_156673611_156674112",0.0874563108151914,-0.801801097370376,8.18411387157363e-06,0.0813255395418271
"mm10_chr6_124828270_124828771","mm10_chr6_124828270_124828771",0.0872002003959256,0.815898394191623,8.43600576674132e-06,0.0838201532983418
"rn6_chr18_24730212_24730712_250","rn6_chr18_24730212_24730712_250",0.0867085569750486,-0.761669692278058,8.94135988673246e-06,0.088832410474687
